arm,crosses_per_team_match,fixture,fouls_committed_per_team_match,goals_away,goals_home,goals_per_team_match,goals_to_micro_xg_ratio,headers_per_team_match,interceptions_per_pass,long_pass_share,micro_xg_away,micro_xg_home,micro_xg_per_team_match,pass_completion,passes_away,passes_home,passes_per_team_match,possession_away,possession_home,possession_share,red_cards_per_team_match,sample_index,shots_away,shots_home,shots_on_target_rate,shots_per_team_match,tackles_per_team_match,through_share,wm_action_adoption_rate,wm_action_adoptions,wm_action_attributable_adoptions,wm_action_attribution_eligible_opportunities,wm_action_counterfactual_change_rate,wm_action_counterfactual_changes,wm_action_expected_counterfactual_change_rate,wm_action_expected_counterfactual_changes,wm_action_influenced_opportunities,wm_action_mean_probability_shift,wm_action_opportunities,wm_pass_target_changes,wm_pass_target_expected_changes,wm_pass_target_influenced_opportunities,wm_pass_target_opportunities,yellow_cards_per_team_match
M1_predict_only,2.5,Portugal_vs_Uruguay,2.5,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.14814814814814814,0.0,0.0,0.0,0.7839506172839507,57.0,105.0,81.0,0.3496932515337423,0.6503067484662577,0.6503067484662577,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1_predict_only,1.5,Portugal_vs_Uruguay,1.5,2.0,0.0,1.0,2.2838939197488033,0.0,0.03896103896103896,0.22727272727272727,0.8756974142739398,0.0,0.4378487071369699,0.7662337662337663,84.0,70.0,77.0,0.5705521472392638,0.4294478527607362,0.4294478527607362,0.0,1,5.0,0.0,0.2,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1_action_policy,1.5,Mexico_vs_South Korea,0.5,0.0,0.0,0.0,0.0,0.0,0.037267080745341616,0.14906832298136646,0.012,0.03574364197407244,0.02387182098703622,0.782608695652174,87.0,74.0,80.5,0.5398773006134969,0.4601226993865031,0.4601226993865031,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.25153374233128833,41.0,41.0,163.0,0.006134969325153374,1.0,0.013099066005217236,2.1351477588504095,163.0,0.012348689500159967,163.0,5.0,1.0064418341069081,161.0,161.0,0.0
M1_action_policy,2.5,Mexico_vs_South Korea,0.5,0.0,0.0,0.0,0.0,0.0,0.024691358024691357,0.14814814814814814,0.18793239287163288,0.013427997130027378,0.10068019500083013,0.8024691358024691,110.0,52.0,81.0,0.6809815950920246,0.31901840490797545,0.31901840490797545,0.0,1,1.0,0.0,1.0,0.5,3.5,0.0,0.3128834355828221,51.0,51.0,163.0,0.0,0.0,0.012925787581608022,2.1069033758021076,163.0,0.011417966939756573,163.0,2.0,0.8659451545268072,162.0,162.0,0.0
M1_action_policy,2.5,Brazil_vs_Germany,2.5,0.0,0.0,0.0,0.0,0.0,0.05,0.0625,0.08288691968553749,0.019667751147682606,0.051277335416610045,0.84375,77.0,83.0,80.0,0.48466257668711654,0.5153374233128835,0.5153374233128835,0.0,0,1.0,0.0,0.0,0.5,6.0,0.0,0.19631901840490798,32.0,31.0,162.0,0.018518518518518517,3.0,0.009796107351046945,1.586969390869605,162.0,0.008874330192506398,163.0,5.0,1.1620591877408517,160.0,160.0,0.0
M1_action_policy,1.5,Brazil_vs_Germany,3.5,0.0,0.0,0.0,0.0,0.0,0.0379746835443038,0.06962025316455696,0.37578978184302214,0.0,0.18789489092151107,0.8164556962025317,78.0,80.0,79.0,0.5030674846625767,0.49693251533742333,0.49693251533742333,0.0,1,2.0,0.0,0.5,1.0,3.5,0.0,0.31901840490797545,52.0,52.0,163.0,0.018404907975460124,3.0,0.00979391658117871,1.59640840273213,163.0,0.008939461252682393,163.0,3.0,1.2806236483346007,158.0,158.0,0.0
M1_action_policy,2.5,France_vs_England,2.5,0.0,0.0,0.0,0.0,0.0,0.037267080745341616,0.14285714285714285,0.13867210512618772,0.013871749489204135,0.07627192730769593,0.7888198757763976,66.0,95.0,80.5,0.4171779141104295,0.5828220858895705,0.5828220858895705,0.0,0,1.0,0.0,0.0,0.5,4.0,0.0,0.1411042944785276,23.0,23.0,163.0,0.006134969325153374,1.0,0.013970012846019432,2.2771120939011675,163.0,0.013170912876116828,163.0,2.0,0.8561963703168303,161.0,161.0,0.0
M1_action_policy,1.5,France_vs_England,2.0,2.0,0.0,1.0,3.6651617501201565,0.5,0.057692307692307696,0.28205128205128205,0.5403047785514851,0.00537373070787665,0.27283925462968084,0.7051282051282052,58.0,98.0,78.0,0.3926380368098159,0.6073619631901841,0.6073619631901841,0.0,1,3.0,0.0,0.3333333333333333,1.5,6.0,0.0,0.13043478260869565,21.0,21.0,161.0,0.012422360248447204,2.0,0.013498535614927445,2.1732642340033186,161.0,0.012576386488290951,161.0,1.0,0.9878475556897603,156.0,156.0,0.0
M1_action_policy,2.0,Argentina_vs_Netherlands,2.0,0.0,0.0,0.0,0.0,0.5,0.056962025316455694,0.14556962025316456,0.5066533259554448,0.014970266358910732,0.26081179615717776,0.7911392405063291,45.0,113.0,79.0,0.29447852760736193,0.7055214723926381,0.7055214723926381,0.0,0,3.0,0.0,0.3333333333333333,1.5,5.0,0.0,0.12883435582822086,21.0,21.0,163.0,0.012269938650306749,2.0,0.008837527850447793,1.4405170396229903,163.0,0.008373371530442786,163.0,0.0,0.5667073051325898,158.0,158.0,0.0
M1_action_policy,0.5,Argentina_vs_Netherlands,0.5,0.0,0.0,0.0,0.0,0.0,0.0375,0.175,0.07898658876363575,0.017063612236373118,0.048025100500004435,0.7375,91.0,69.0,80.0,0.5705521472392638,0.4294478527607362,0.4294478527607362,0.0,1,1.0,0.0,0.0,0.5,4.0,0.0,0.3067484662576687,50.0,50.0,163.0,0.012269938650306749,2.0,0.010670070666206549,1.7392215185916673,163.0,0.010021288112771518,163.0,2.0,1.3869359666267178,160.0,160.0,0.0
M1_action_policy,1.0,Spain_vs_Morocco,3.5,0.0,0.0,0.0,0.0,0.0,0.018633540372670808,0.14285714285714285,0.22469553523823532,0.0,0.11234776761911766,0.7763975155279503,64.0,97.0,80.5,0.4049079754601227,0.5950920245398773,0.5950920245398773,0.0,0,1.0,0.0,1.0,0.5,2.0,0.0,0.1411042944785276,23.0,23.0,163.0,0.006134969325153374,1.0,0.013751118935090276,2.241432386419715,163.0,0.011581893674308102,163.0,2.0,1.148887243824537,161.0,161.0,0.0
M1_action_policy,1.0,Spain_vs_Morocco,2.5,0.0,0.0,0.0,0.0,0.5,0.03821656050955414,0.16560509554140126,0.2510288964630671,0.03125700766628972,0.14114295206467842,0.7643312101910829,57.0,100.0,78.5,0.3742331288343558,0.6257668711656442,0.6257668711656442,0.0,1,2.0,0.0,0.0,1.0,4.5,0.0,0.10429447852760736,17.0,17.0,163.0,0.03067484662576687,5.0,0.013570737374860212,2.2120301921022145,163.0,0.01162505189456406,163.0,2.0,1.0013349662339577,157.0,157.0,0.0
M1_action_policy,2.5,Portugal_vs_Uruguay,2.0,0.0,0.0,0.0,0.0,0.0,0.037267080745341616,0.19254658385093168,0.0,0.0,0.0,0.7453416149068323,67.0,94.0,80.5,0.4171779141104295,0.5828220858895705,0.5828220858895705,0.0,0,0.0,0.0,0.0,0.0,3.5,0.0,0.07975460122699386,13.0,12.0,162.0,0.006172839506172839,1.0,0.018490408793318074,2.995446224517528,162.0,0.016063405749066617,163.0,1.0,1.072890439281115,161.0,161.0,0.0
M1_action_policy,1.5,Portugal_vs_Uruguay,2.5,0.0,0.0,0.0,0.0,0.0,0.0189873417721519,0.21518987341772153,0.012,0.08307619505261048,0.04753809752630524,0.759493670886076,69.0,89.0,79.0,0.44171779141104295,0.558282208588957,0.558282208588957,0.0,1,0.0,1.0,0.0,0.5,3.5,0.0,0.09202453987730061,15.0,14.0,162.0,0.024691358024691357,4.0,0.016924553995103144,2.7417777472067093,162.0,0.014533868956936839,163.0,0.0,1.2096322228588734,158.0,158.0,0.0
